spot	(0) Capillary endothelium	(1) Ventricular cardiomyocytes	(10) Endothelium/ pericytes/ adventia	(12) Cardiomyocytes	(14) Cells related to cardiac neural crest	(2) Fribroblast-like (AV mesenchyme related)	(3) Subepicardial cells	(4) Fribroblast-like (coronary & mediastinal vasculature related)	(5) Smooth muscle cells/ fibroblast-like	(7) Artrial cardiomyocytes	(8) Fibroblast-like (outflow tract & valve related)	(9) Epicardial cells
3405_9116	1	2	1	10	0	1	0	0	0	2	1	0
3405_9540	1	7	0	13	0	1	1	1	0	0	3	0
3405_9964	0	6	0	9	0	0	0	1	0	4	2	0
3405_10388	0	3	0	10	0	0	0	0	0	1	1	0
3405_10812	0	6	0	11	0	0	0	1	0	2	0	0
3405_11236	3	6	2	6	0	0	0	1	0	3	2	0
3405_11660	3	5	1	6	0	0	0	0	0	3	0	0
3405_12084	4	6	1	8	0	0	0	0	0	2	0	0
3405_12508	3	4	0	3	0	1	0	0	0	2	1	0
3405_12932	2	4	1	6	0	0	0	0	0	1	1	0
3405_13356	0	6	0	11	0	0	0	0	0	1	2	0
3405_13780	4	3	4	14	0	1	0	0	0	3	0	0
3405_14204	0	9	3	6	0	0	0	1	0	1	0	0
3405_14628	0	5	1	7	0	0	0	3	0	2	2	1
3405_15052	0	3	0	1	0	0	0	1	0	0	1	4
3859_1060	0	0	0	0	0	0	1	0	0	2	0	10
3859_1484	1	0	1	0	0	0	0	0	0	7	0	1
3859_1908	0	0	1	0	0	0	0	0	0	13	0	0
3859_2332	3	0	2	3	0	0	0	0	0	18	0	0
3859_2756	0	0	0	0	0	0	0	0	0	3	0	0
3859_4876	0	0	0	0	0	0	0	0	0	1	0	0
3859_5300	1	0	0	1	0	0	0	0	0	31	0	0
3859_5724	0	0	0	0	0	1	1	0	1	11	0	2
3859_6148	0	0	0	0	0	1	4	0	0	0	0	2
3859_6572	0	0	1	0	0	2	13	5	0	0	2	1
3859_6996	3	0	1	0	0	4	1	2	2	0	0	0
3859_8692	5	5	3	8	0	1	0	0	1	2	1	0
3859_9116	3	3	4	16	0	1	0	2	0	1	2	0
3859_9540	1	3	1	9	0	2	0	1	0	2	3	0
3859_9964	4	1	3	10	1	1	0	0	0	1	1	0
3859_10388	1	4	0	11	0	0	0	0	0	3	1	0
3859_10812	1	6	1	7	0	0	0	1	0	2	2	0
3859_11236	0	4	1	8	0	0	0	1	0	2	0	0
3859_11660	0	2	2	11	0	0	0	0	0	3	1	0
3859_12084	1	2	3	16	0	0	0	1	0	2	5	0
3859_12508	1	5	0	9	0	0	0	1	0	1	1	0
3859_12932	0	4	1	4	0	0	0	1	0	1	2	0
3859_13356	2	6	0	7	0	0	0	0	0	0	1	0
3859_13780	3	3	2	9	0	0	0	0	0	4	2	0
3859_14204	0	6	3	13	0	0	0	1	0	2	2	0
3859_14628	0	0	3	12	0	3	0	1	0	4	0	0
3859_15052	1	9	2	6	0	0	1	2	0	1	4	0
3859_15476	0	2	0	0	0	0	0	0	1	0	0	1
4313_1060	0	0	1	0	0	0	1	0	0	4	0	8
4313_1484	1	0	2	0	0	0	0	0	0	25	0	0
4313_1908	2	0	0	1	0	0	0	0	0	21	0	0
4313_2332	0	0	0	1	0	0	0	0	0	32	0	0
4313_2756	2	0	0	2	0	0	0	0	1	12	0	0
