spot	(0) Capillary endothelium	(1) Ventricular cardiomyocytes	(10) Endothelium/ pericytes/ adventia	(12) Cardiomyocytes	(14) Cells related to cardiac neural crest	(2) Fribroblast-like (AV mesenchyme related)	(3) Subepicardial cells	(4) Fribroblast-like (coronary & mediastinal vasculature related)	(5) Smooth muscle cells/ fibroblast-like	(7) Artrial cardiomyocytes	(8) Fibroblast-like (outflow tract & valve related)	(9) Epicardial cells
14301_212	0	0	0	0	0	0	0	1	0	0	0	0
14301_636	0	0	0	0	0	1	1	0	0	0	1	0
14301_1060	0	0	0	0	0	0	3	1	1	0	0	0
14301_1484	0	0	0	0	0	0	9	0	15	0	0	0
14301_1908	0	0	0	0	1	0	4	1	13	0	1	3
14301_2332	0	0	0	0	0	0	0	0	0	0	0	1
14301_2756	0	0	0	0	0	0	0	0	0	0	0	1
14301_3180	0	0	0	0	0	0	3	2	3	0	0	6
14301_3604	0	0	0	0	0	0	3	0	3	0	0	5
14301_4452	0	0	0	0	0	0	0	0	1	11	0	5
14301_4876	2	0	0	0	0	0	0	0	0	12	0	0
14301_5724	0	0	0	0	0	0	0	0	0	1	0	0
14301_6148	0	0	0	0	0	0	0	0	0	3	0	0
14301_6572	0	0	0	0	0	0	0	0	0	2	0	0
14301_6996	0	0	2	0	0	2	0	0	0	12	1	0
14301_7420	3	0	0	0	0	0	0	0	0	16	0	0
14301_7844	0	0	1	0	0	0	0	0	0	16	0	0
14301_8268	0	0	2	0	0	0	0	0	0	17	0	0
14301_8692	1	0	0	0	0	0	0	0	0	14	1	5
14301_9116	0	0	0	1	0	0	0	0	0	21	0	4
14301_9540	0	0	1	1	0	1	0	0	0	17	1	2
14301_9964	0	0	0	0	0	1	0	1	0	15	0	2
14301_10388	0	0	0	0	0	0	0	0	0	7	0	3
14301_10812	0	0	0	0	0	0	0	0	0	0	0	1
14301_11236	0	0	0	0	0	0	3	1	0	0	0	1
14301_11660	0	1	3	5	0	3	3	1	1	1	2	5
14301_12084	0	3	2	3	0	3	2	3	0	0	2	0
14301_12508	0	4	2	2	0	3	0	1	0	2	2	1
14301_12932	0	4	2	3	0	0	2	3	0	3	3	4
14301_13356	0	3	3	1	0	2	1	2	0	1	3	3
14301_13780	0	0	0	0	0	0	0	0	0	0	0	1
14755_212	0	0	0	0	0	2	0	0	1	0	0	0
14755_636	0	0	0	0	0	0	0	1	0	0	1	0
14755_1060	0	0	1	0	0	3	4	2	10	0	0	0
14755_1484	0	0	1	0	1	2	6	4	13	0	0	0
14755_1908	0	0	1	0	5	2	5	3	7	0	3	3
14755_2332	0	0	0	0	0	0	0	0	0	0	0	1
14755_2756	0	0	0	0	0	0	3	1	1	0	0	3
14755_3180	5	0	1	0	0	1	1	1	7	0	8	0
14755_3604	0	0	0	0	0	1	3	0	7	0	2	5
14755_4452	1	0	0	0	0	0	1	0	1	7	0	0
14755_4876	0	0	0	0	0	0	0	0	0	8	0	1
14755_5300	2	0	1	0	0	0	0	0	0	15	0	0
14755_5724	3	0	1	0	0	0	0	0	0	11	0	0
14755_6148	0	0	1	2	0	1	0	0	0	19	0	0
14755_6572	1	0	1	1	0	0	0	0	0	13	0	0
14755_6996	0	0	0	0	0	0	0	0	0	28	0	0
14755_7420	1	0	0	0	0	0	0	0	0	7	0	0
14755_7844	1	0	0	0	0	0	0	0	0	5	0	0
14755_8268	0	0	3	0	0	0	0	0	0	19	0	0
14755_8692	2	0	0	0	0	0	0	0	0	16	2	0
14755_9116	0	0	0	0	0	1	0	0	0	20	0	0
14755_9540	2	0	2	0	0	0	0	0	0	7	0	0
14755_9964	1	0	0	1	0	0	0	0	0	9	0	0
14755_10388	0	0	0	1	0	0	0	0	0	16	0	2
14755_10812	0	0	0	0	0	0	0	0	0	2	1	4
14755_11236	0	0	1	0	0	0	0	0	0	0	0	0
15209_212	0	0	0	0	0	0	0	4	0	0	1	0
15209_636	0	0	0	0	0	1	1	1	1	0	2	0
15209_1060	1	0	0	0	0	6	3	7	19	0	2	0
15209_1484	0	0	0	0	0	5	1	1	21	0	0	0
15209_1908	0	0	0	0	3	2	1	1	7	0	1	0
15209_2332	0	0	0	0	1	5	3	2	8	0	2	5
15209_2756	0	0	0	0	0	2	2	2	6	0	3	8
15209_3180	4	0	0	0	0	3	2	3	15	0	2	2
15209_3604	0	0	0	0	0	0	2	0	0	0	0	4
15209_4876	0	0	0	0	0	0	1	0	0	0	0	1
15209_5300	0	0	0	0	0	1	4	0	1	5	0	2
15209_5724	3	0	1	1	0	0	0	1	1	3	0	7
15209_6148	0	0	1	0	0	1	0	0	0	23	1	0
15209_6572	1	0	2	1	0	1	0	1	0	19	1	0
15209_6996	1	0	1	0	0	0	0	0	0	17	1	0
15209_7420	2	0	2	0	0	0	0	0	0	13	0	0
15209_7844	1	0	1	1	0	0	0	0	0	9	0	0
15209_8268	2	0	1	1	0	0	0	0	0	5	0	0
15209_8692	1	0	0	0	0	0	0	0	0	9	0	0
15209_9116	1	0	2	0	0	0	0	0	0	2	0	0
15209_9540	0	0	1	0	0	0	0	0	0	0	0	0
15209_10388	0	0	0	1	0	0	0	0	0	2	0	0
15209_10812	0	0	1	0	0	0	0	0	0	15	0	1
15209_11236	0	0	0	0	0	1	0	0	0	11	1	10
15209_11660	1	0	0	0	0	0	0	0	0	1	0	6
15663_212	0	0	0	0	0	0	0	0	1	0	0	0
15663_636	0	0	0	0	0	3	0	0	3	0	1	0
15663_1060	2	0	0	0	1	4	1	4	12	0	2	0
15663_1484	0	0	2	0	0	4	4	2	17	0	2	0
15663_1908	2	0	0	0	0	6	2	4	6	0	3	0
15663_2332	0	0	0	0	0	5	3	6	12	0	3	0
15663_2756	0	0	0	0	0	5	2	1	2	0	1	5
15663_3180	0	0	0	0	0	2	1	1	2	0	1	4
15663_6148	0	0	0	0	0	1	1	1	1	7	0	2
15663_6572	1	0	0	0	0	0	1	1	0	3	0	4
15663_6996	0	0	1	0	0	0	1	0	1	8	3	2
15663_7420	2	0	1	1	0	0	1	0	0	16	0	0
15663_7844	0	0	0	1	0	0	0	0	0	16	1	0
15663_8268	2	0	0	0	0	0	0	0	0	8	0	0
15663_8692	2	0	0	0	0	0	0	0	0	1	0	0
15663_11660	0	0	1	0	0	0	0	0	0	4	0	0
15663_12084	1	0	2	1	0	0	0	0	0	2	0	0
15663_12508	0	0	1	0	0	0	0	0	0	0	0	0
16117_636	0	0	0	0	0	3	0	0	0	0	2	0
16117_1060	1	0	0	0	0	7	0	4	7	0	2	0
16117_1484	2	0	1	0	0	4	4	1	11	0	2	0
16117_1908	0	0	1	0	0	7	2	2	5	0	3	0
16117_2332	1	0	0	0	0	4	1	3	4	0	7	1
16117_2756	0	0	0	0	0	0	0	0	0	0	1	0
16117_6996	0	0	0	0	0	0	1	0	0	1	0	4
16117_7420	0	0	1	0	0	0	1	0	0	7	1	0
16117_7844	0	0	1	0	0	0	0	0	0	12	1	0
16117_8268	0	0	2	0	0	0	0	0	0	19	1	0
16117_8692	0	0	1	0	0	0	0	0	0	22	2	0
16117_9116	2	0	1	0	0	0	0	0	0	6	0	0
16117_10812	0	0	0	0	0	0	0	0	0	1	0	0
16117_11660	0	0	1	0	0	0	0	0	0	2	0	0
16117_12084	0	0	1	0	0	0	0	0	0	4	0	0
16571_636	0	0	0	0	0	1	0	0	0	0	1	0
16571_1060	0	0	0	0	1	7	3	0	3	0	0	0
16571_1484	1	0	0	0	0	1	3	1	6	0	1	0
16571_2332	0	0	1	0	0	1	0	0	0	0	2	0
16571_7844	0	0	0	0	0	0	0	0	0	0	0	1
16571_8268	0	0	0	0	0	0	0	0	0	12	0	6
16571_8692	1	0	3	0	0	0	0	0	0	19	0	0
16571_9116	0	0	0	0	0	0	0	0	0	14	0	0
16571_9540	1	0	0	0	0	0	0	0	0	1	0	0
16571_9964	0	0	1	0	0	0	0	0	0	0	0	0
16571_10388	1	0	1	0	0	0	0	0	0	0	0	0
16571_10812	3	0	1	1	0	0	0	0	0	12	2	0
16571_11236	1	0	2	0	0	0	0	0	0	7	1	0
16571_11660	1	0	1	0	0	0	0	0	0	8	0	0
16571_12084	0	0	2	0	0	0	0	0	0	8	0	0
17025_5300	0	0	0	0	0	0	0	0	0	0	1	0
17025_7844	0	0	0	0	0	0	0	0	0	9	0	7
17025_8268	0	0	0	0	0	0	0	0	0	19	0	1
17025_8692	0	0	0	1	0	0	0	0	0	18	0	0
17025_9116	3	0	0	0	0	0	0	0	0	16	0	0
17025_9540	1	0	1	0	0	0	0	0	0	17	0	0
17025_9964	0	0	0	0	0	0	0	0	0	19	0	0
17025_10388	1	0	3	0	0	0	0	0	0	11	2	0
17025_10812	0	0	1	1	0	0	1	0	0	9	0	0
17025_11236	0	0	0	0	0	1	0	0	0	5	1	5
17025_11660	0	0	1	0	0	0	0	1	0	2	0	3
17025_12084	0	0	0	0	0	2	0	0	0	1	0	2
17479_7844	0	0	0	0	0	0	2	0	0	9	0	3
17479_8268	0	0	1	0	0	0	0	0	0	17	0	0
17479_8692	0	0	0	0	0	0	0	0	0	20	0	0
17479_9116	4	0	0	0	0	0	0	0	0	13	0	0
17479_9540	3	0	0	0	0	0	0	0	0	2	0	0
17479_9964	3	0	0	0	0	0	0	0	0	14	1	0
17479_10388	0	0	0	0	0	0	0	0	1	15	0	1
17479_10812	0	0	0	0	0	0	1	1	1	1	0	3
17933_7844	0	0	0	0	0	0	0	0	0	0	0	1
17933_8268	0	0	0	0	0	0	0	0	1	7	0	4
17933_8692	0	0	0	0	0	0	3	0	1	6	0	4
17933_9116	0	0	0	0	0	0	5	0	1	10	1	2
17933_9540	2	0	0	0	0	0	0	1	0	13	0	2
17933_9964	2	0	0	0	0	0	0	0	1	12	0	2
17933_10388	0	0	0	0	0	0	0	0	0	0	0	1
