cell	bio_celltype
cell498	Interneuron
cell499	Neuroblast
cell500	Microglia
cell501	Astrocytes
cell502	Interneuron
cell503	Interneuron
cell504	Interneuron
cell505	Neuroblast
cell506	Astrocytes
cell507	Interneuron
cell508	Interneuron
cell509	Neuroblast
cell510	Neuroblast
cell511	Interneuron
cell512	Neuroblast
cell513	Interneuron
cell516	Interneuron
cell517	Astrocytes
cell518	Interneuron
cell519	Interneuron
cell520	Neuroblast
cell521	Neuroblast
cell522	Interneuron
cell524	Interneuron
cell525	Interneuron
cell526	Astrocytes
cell527	Interneuron
cell528	Neuroblast
cell529	Interneuron
cell530	Neuroblast
cell531	Interneuron
cell532	Interneuron
cell533	Neuroblast
cell534	Interneuron
cell535	Neuroblast
cell536	Astrocytes
cell537	Neuroblast
cell538	Interneuron
cell539	Interneuron
cell540	Interneuron
cell541	Neuroblast
cell542	Interneuron
cell543	Interneuron
cell544	Interneuron
cell545	Interneuron
cell546	Astrocytes
cell547	Interneuron
cell548	Astrocytes
cell549	Neuroblast
cell550	Interneuron
cell551	Interneuron
cell552	Interneuron
cell553	Interneuron
cell555	Oligodendrocytes
cell556	Interneuron
cell557	Interneuron
cell558	Neuroblast
cell559	Interneuron
cell560	Interneuron
cell561	Interneuron
cell562	Neuroblast
cell563	Interneuron
cell564	Interneuron
cell565	Interneuron
cell566	Neuroblast
cell567	Interneuron
cell568	Neuroblast
cell569	Neuroblast
cell570	Interneuron
cell571	Interneuron
cell572	Interneuron
cell573	Neuroblast
cell574	Astrocytes
cell575	Interneuron
cell576	Interneuron
cell577	Neuroblast
cell578	Interneuron
cell579	Interneuron
cell580	Interneuron
cell581	Astrocytes
cell582	Interneuron
cell583	Interneuron
cell584	Interneuron
cell585	Interneuron
cell586	Interneuron
cell587	Interneuron
cell588	Interneuron
cell589	Interneuron
cell590	Interneuron
cell591	Interneuron
cell592	Interneuron
cell593	Interneuron
cell594	Interneuron
cell595	Interneuron
cell596	Neuroblast
cell597	Neuroblast
cell598	Neuroblast
cell599	Neuroblast
cell600	Interneuron
cell601	Interneuron
cell602	Neuroblast
cell603	Interneuron
cell604	Interneuron
cell605	Microglia
cell606	Interneuron
cell607	Neuroblast
cell608	Interneuron
cell609	Interneuron
cell610	Interneuron
cell611	Interneuron
cell612	Interneuron
cell613	Interneuron
cell614	Interneuron
cell615	Astrocytes
cell616	Interneuron
cell617	Neuroblast
cell618	Interneuron
cell619	Neuroblast
cell620	Neuroblast
cell621	Interneuron
cell622	Interneuron
cell623	Interneuron
cell624	Interneuron
cell625	Interneuron
cell626	Interneuron
cell627	Interneuron
cell628	Interneuron
cell629	Interneuron
cell630	Interneuron
cell631	Interneuron
cell632	Endothelial cells
cell633	Interneuron
cell634	Interneuron
cell635	Interneuron
cell636	Astrocytes
cell637	Interneuron
cell638	Neuroblast
cell639	Interneuron
cell640	Interneuron
cell641	Interneuron
cell642	Interneuron
cell643	Interneuron
cell644	Interneuron
cell645	Interneuron
cell646	Interneuron
cell647	Interneuron
cell648	Neuroblast
cell649	Astrocytes
cell650	Interneuron
cell652	Neuroblast
cell653	Oligodendrocytes
cell654	Neuroblast
cell655	Interneuron
cell656	Interneuron
cell657	Interneuron
cell658	Neuroblast
cell659	Neuroblast
cell660	Neuroblast
cell661	Neuroblast
cell662	Neuroblast
cell663	Interneuron
cell664	Interneuron
cell665	Astrocytes
cell666	Interneuron
cell667	Neuroblast
cell668	Astrocytes
cell669	Neuroblast
cell670	Neuroblast
cell671	Astrocytes
cell672	Astrocytes
cell673	Interneuron
cell674	Interneuron
cell675	Neuroblast
cell676	Astrocytes
cell677	Interneuron
cell678	Interneuron
cell679	Neuroblast
cell680	Interneuron
cell681	Interneuron
cell682	Neuroblast
cell683	Neuroblast
cell684	Interneuron
cell685	Interneuron
cell686	Interneuron
cell687	Astrocytes
cell688	Interneuron
cell689	Neuroblast
cell690	Neuroblast
cell691	Neuroblast
cell692	Interneuron
cell693	Interneuron
cell694	Interneuron
cell695	Interneuron
