spot	x	y	layer_new
6583_13356	6583	13356	3
6583_13780	6583	13780	3
6583_14204	6583	14204	3
6583_14628	6583	14628	3
6583_15052	6583	15052	3
6583_15476	6583	15476	3
6583_15900	6583	15900	3
7037_1060	7037	1060	1
7037_1484	7037	1484	1
7037_1908	7037	1908	1
7037_2332	7037	2332	1
7037_2756	7037	2756	1
7037_3180	7037	3180	1
7037_3604	7037	3604	1
7037_4876	7037	4876	1
7037_5300	7037	5300	1
7037_5724	7037	5724	1
7037_6148	7037	6148	1
7037_6572	7037	6572	1
7037_6996	7037	6996	1
7037_7420	7037	7420	1
7037_7844	7037	7844	1
7037_8268	7037	8268	1
7037_9116	7037	9116	3
7037_9540	7037	9540	3
7037_9964	7037	9964	3
7037_10388	7037	10388	3
7037_10812	7037	10812	3
7037_11236	7037	11236	3
7037_11660	7037	11660	3
7037_12084	7037	12084	3
7037_12508	7037	12508	3
7037_12932	7037	12932	3
7037_13356	7037	13356	3
7037_13780	7037	13780	3
7037_14204	7037	14204	3
7037_14628	7037	14628	3
7037_15052	7037	15052	3
7037_15476	7037	15476	3
7037_15900	7037	15900	2
7491_1060	7491	1060	1
7491_1484	7491	1484	1
7491_1908	7491	1908	1
7491_2332	7491	2332	1
7491_2756	7491	2756	1
7491_3180	7491	3180	1
7491_4876	7491	4876	1
7491_5300	7491	5300	1
7491_5724	7491	5724	1
7491_6148	7491	6148	1
7491_6572	7491	6572	1
7491_6996	7491	6996	1
7491_7420	7491	7420	1
7491_7844	7491	7844	1
7491_8268	7491	8268	1
7491_8692	7491	8692	1
7491_9116	7491	9116	3
7491_9540	7491	9540	3
7491_9964	7491	9964	3
7491_10388	7491	10388	3
7491_10812	7491	10812	3
7491_11236	7491	11236	3
7491_11660	7491	11660	3
7491_12084	7491	12084	3
7491_12508	7491	12508	3
7491_12932	7491	12932	3
7491_13356	7491	13356	3
7491_13780	7491	13780	3
7491_14204	7491	14204	3
7491_14628	7491	14628	3
7491_15052	7491	15052	3
7491_15476	7491	15476	3
7491_15900	7491	15900	3
7945_1060	7945	1060	1
7945_1484	7945	1484	1
7945_1908	7945	1908	1
7945_2332	7945	2332	1
7945_2756	7945	2756	1
7945_3180	7945	3180	1
7945_4452	7945	4452	1
7945_4876	7945	4876	1
7945_5300	7945	5300	1
7945_5724	7945	5724	1
7945_6148	7945	6148	1
7945_6572	7945	6572	1
7945_6996	7945	6996	1
7945_7420	7945	7420	1
7945_7844	7945	7844	1
7945_8268	7945	8268	1
7945_8692	7945	8692	1
7945_9116	7945	9116	3
7945_9540	7945	9540	3
7945_9964	7945	9964	3
7945_10388	7945	10388	3
7945_10812	7945	10812	3
7945_11236	7945	11236	3
7945_11660	7945	11660	3
7945_12084	7945	12084	3
7945_12508	7945	12508	3
7945_12932	7945	12932	3
7945_13356	7945	13356	3
7945_13780	7945	13780	3
7945_14204	7945	14204	3
7945_14628	7945	14628	3
7945_15052	7945	15052	3
7945_15476	7945	15476	3
7945_15900	7945	15900	3
7945_16324	7945	16324	3
8399_1060	8399	1060	1
8399_1484	8399	1484	1
8399_1908	8399	1908	1
8399_2332	8399	2332	1
8399_2756	8399	2756	1
8399_4452	8399	4452	1
8399_4876	8399	4876	1
8399_5300	8399	5300	1
8399_5724	8399	5724	1
8399_6148	8399	6148	1
8399_7420	8399	7420	2
8399_7844	8399	7844	1
8399_8268	8399	8268	1
8399_8692	8399	8692	1
8399_9116	8399	9116	3
8399_9540	8399	9540	3
8399_9964	8399	9964	3
8399_10388	8399	10388	3
8399_10812	8399	10812	3
8399_11236	8399	11236	3
8399_11660	8399	11660	3
8399_12084	8399	12084	3
8399_12508	8399	12508	3
8399_12932	8399	12932	3
8399_13356	8399	13356	3
8399_13780	8399	13780	3
8399_14204	8399	14204	3
8399_14628	8399	14628	3
8399_15052	8399	15052	3
8399_15476	8399	15476	3
8399_15900	8399	15900	3
8399_16324	8399	16324	3
8399_16748	8399	16748	3
